name,bsn_number,medicine,marital_status,education,work,annual_salary,favorite_car,favorite_color,favorite_food,age
Amity Hebert,16041006 -6260,Clindamycin HCl,Never-married,Doctorate,Donec Tempor LLC,79874,Volkswagen,orange,pasta,58
Britanni Hewitt,16080318 -1080,Metformin HCl,Married-spouse-absent,Assoc-voc,Sem Magna Consulting,115900,Porsche,green,desserts,26
Zorita Williamson,16130415 -3099,Atenolol,Married-civ-spouse,Bachelors,Ut Mi Duis Associates,23765,Dacia,violet,cereals,37
Unity Wiggins,16840911 -5899,Tramadol HCl,Married-spouse-absent,Some-college,Dignissim Magna Company,96627,Audi,violet,noodles,50
Azalia Herring,16461030 -5437,Furosemide,Separated ,Assoc-acdm,Duis A Inc.,68749,Toyota,red,noodles,76
Willow Grant,16080919 -3204,Amlodipine Besylate,Divorced,Bachelors,Tempus Lorem Fringilla Corporation,112875,Lexus,violet,noodles,46
Ava Schneider,16701121 -7358,Lorazepam,Married-spouse-absent,10th,Sociis LLP,81873,Mitsubishi Motors,green,pasta,23
Yoko Trevino,16470610 -2318,Benicar HCT, Widowed,Assoc-acdm,Elementum LLC,84058,Mitsubishi Motors,red,pies,27
Hermione Doyle,16991029 -1054,Lisinopril,Divorced,10th,Nulla Interdum Curabitur Industries,66122,Skoda,indigo,desserts,64
Denise Pickett,16121004 -5710,Promethazine HCl, Widowed,Doctorate,Fringilla Cursus LLC,93848,Mitsubishi Motors,yellow,soups,79
Cheyenne Rose,16020925 -4721,Klor-Con M20,Never-married,Preschool,Dapibus Institute,71053,Mitsubishi Motors,blue,stews,33
Georgia Delaney,16341104 -4799,Metoprolol Succinate, Widowed,9th,Elit Fermentum Consulting,111050,Volkswagen,red,seafood,40
Rinah Hoover,16260502 -4930,Gabapentin,Married-civ-spouse,Doctorate,Dis Associates,86830,Smart,yellow,seafood,24
Hillary Wheeler,16900216 -9002,Ibuprofen (Rx), Widowed,Assoc-voc,Neque Nullam Ut Consulting,81748,Vauxhall,yellow,seafood,28
Shay Shaffer,16850126 -4215,Naproxen,Never-married,Some-college,Pellentesque Habitant Morbi Ltd,111489,Kia Motors,indigo,cereals,52
Katell Nunez,16251115 -0407,Metformin HCl,Separated ,Assoc-voc,Quisque Porttitor LLP,63678,Skoda,indigo,sandwiches,42
Macey Diaz,16260225 -9752,Vyvanse,Married-civ-spouse,10th,Augue Eu PC,78027,Nissan,yellow,pasta,76
Brittany Riggs,16460113 -9811,Lovastatin,Married-civ-spouse,Assoc-voc,Justo LLC,55598,Audi,red,sandwiches,58
Winter Quinn,16151230 -7040,Lorazepam,Married-AF-spouse,10th,Diam Sed Corporation,57491,GMC,yellow,pasta,40
Maile Hamilton,16630330 -5434,None,Married-AF-spouse,Assoc-acdm,Nec Leo Morbi Associates,88438,Skoda,green,cereals,39
Lara Ray,16870622 -1986,Prednisone,Never-married,Doctorate,Purus Gravida Sagittis Inc.,58545,Kia Motors,orange,salads,44
Cynthia Christian,16780719 -2765,Clonazepam,Married-civ-spouse,Bachelors,Velit Eu Sem Company,76631,Maruti Suzuki,orange,noodles,32
Mari Melendez,16290503 -0157,Glyburide,Never-married,Masters,Faucibus Ut Nulla Foundation,81478,Audi,blue,cereals,73
Jayme Perez,16800107 -3173,Sertraline HCl,Married-civ-spouse,11th,Vulputate Incorporated,49188,Isuzu,green,seafood,75
Lysandra Hartman,16270912 -2937,Losartan Potassium, Widowed,10th,Nunc Company,39039,Toyota,indigo,noodles,43
Idola Sears,16650925 -2356,Metoprolol Succinate,Never-married,Prof-school,Nonummy Fusce Fermentum Corp.,27367,Ferrari,yellow,sandwiches,60
Nina Lindsay,16550619 -2243,None,Separated ,Prof-school,Tellus Non Industries,27175,JLR,blue,pies,71
Anjolie Brewer,16750901 -1644,Cephalexin,Divorced,Prof-school,Nunc Pulvinar Foundation,69665,Chrysler,violet,stews,55
Kimberley Summers,16201213 -5204,Furosemide,Married-civ-spouse,Bachelors,Ante Lectus Incorporated,36735,Seat,green,seafood,40
Gemma Valentine,16491126 -2741,Hydrochlorothiazide,Separated ,5th-6th,Ante Inc.,82463,Infiniti,indigo,desserts,72
Danielle Padilla,16300316 -5994,Lisinopril, Widowed,Doctorate,Pede Ltd,29203,Volvo,indigo,seafood,65
Iliana Knight,16060806 -9779,Namenda,Divorced,Assoc-acdm,Ante LLP,53690,Lincoln,indigo,desserts,39
Destiny Stevenson,16041021 -1031,Furosemide,Married-AF-spouse,9th,Sapien Imperdiet Ornare Limited,102571,Fiat,yellow,stews,28
Samantha Franks,16220427 -9356,Sertraline HCl,Never-married,9th,Sapien Nunc Consulting,51497,Subaru,yellow,noodles,68
Savannah Summers,16130306 -7852,Cialis, Widowed,10th,Molestie Tellus Aenean Limited,104382,Renault,violet,sandwiches,29
Desiree Madden,16150206 -6952,None,Divorced,Assoc-acdm,Nibh Dolor Incorporated,111877,Ferrari,green,seafood,31
Amelia Harrison,16570420 -6217,Ibuprofen (Rx),Married-spouse-absent,Doctorate,Duis Gravida Ltd,101244,Toyota,blue,pies,64
Madaline Chan,16031219 -6447,Carvedilol,Separated ,Assoc-voc,Cras Eget Nisi Corp.,76894,Suzuki,yellow,cereals,52
Meghan Blair,16901030 -0110,Azithromycin,Never-married,Doctorate,Amet LLP,116945,JLR,red,pies,26
Tatyana Rivers,16700321 -7002,Vytorin,Married-AF-spouse,HS-grad,Vivamus Nibh PC,65722,Maruti Suzuki,green,soups,67
Gail Waters,16560813 -2485,Cialis, Widowed,Assoc-acdm,Ut Cursus Inc.,50338,Cadillac,green,pies,74
Xandra Ingram,16400911 -5116,Alendronate Sodium,Married-spouse-absent,Masters,Dolor Industries,88672,BMW,green,pies,77
Irma Charles,16940802 -1906,Prednisone,Never-married,Assoc-acdm,At Libero Morbi Corp.,86897,Volkswagen,indigo,sandwiches,63
Audrey Brady,16440819 -7061,Zolpidem Tartrate,Married-spouse-absent,11th,Non Leo Corp.,46135,General Motors,yellow,pasta,54
Unity Riley,16401215 -4698,Lyrica,Separated ,Bachelors,Fusce Aliquet Magna Foundation,69485,Ferrari,yellow,cereals,79
Brenna Frank,16730807 -8711,Triamcinolone Acetonide,Divorced,Prof-school,Etiam LLP,106201,Chevrolet,violet,seafood,26
Rhiannon Pittman,16551206 -9443,Hydrocodone/APAP,Married-civ-spouse,11th,Egestas Inc.,70651,Dongfeng Motor,violet,noodles,46
Stacy Bernard,16310603 -2299,Tri-Sprintec,Divorced,Some-college,Amet Associates,68220,Peugeot,yellow,stews,31
Audra Beasley,16650220 -1178,Simvastatin,Married-civ-spouse,Masters,Ac Feugiat Non Incorporated,96471,Dodge,orange,seafood,54
Candice Osborn,16420919 -0273,Alprazolam,Divorced,HS-grad,Donec Consectetuer LLP,73753,Mahindra and Mahindra,blue,cereals,28
Desirae Riley,16460604 -6466,Diovan,Separated ,Doctorate,Mollis Corporation,26569,Acura,green,stews,34
Inez Dorsey,16021016 -1220,Symbicort,Married-spouse-absent,Masters,Blandit Mattis Consulting,43631,Tata Motors,orange,cereals,49
Jocelyn Cherry,16581230 -1090,Simvastatin,Never-married,11th,Id LLC,80295,Honda,orange,soups,23
Heather Lynn,16861115 -6038,Lantus Solostar,Married-AF-spouse,Bachelors,Eu Tellus Inc.,38999,Ferrari,violet,desserts,47
Maris Garrett,16850514 -9578,Sertraline HCl,Married-spouse-absent,Prof-school,Ante Bibendum LLP,56813,Subaru,violet,pies,74
Latifah Williams,16670718 -1555,Metformin HCl,Married-spouse-absent,Prof-school,Penatibus Incorporated,100422,Mahindra and Mahindra,yellow,seafood,65
Zena Bush,16090513 -6586,Levothyroxine Sodium,Separated ,9th,Metus Associates,48324,Renault,green,seafood,70
Xaviera Hudson,16840721 -0411,Simvastatin,Never-married,Some-college,In Limited,25200,General Motors,orange,pies,43
Ulla Daniel,16450504 -5361,Alendronate Sodium,Married-AF-spouse,Masters,Scelerisque Institute,103828,Peugeot,indigo,pasta,49
Bethany Fitzpatrick,16620524 -4103,Gabapentin,Married-AF-spouse,Bachelors,Dignissim Pharetra Incorporated,87013,Honda,yellow,seafood,47
Jemima Young,16831013 -5374,Prednisone,Never-married,HS-grad,Blandit Viverra Corporation,98208,Vauxhall,orange,pasta,37
Lenore Delaney,16270214 -1363,Atenolol, Widowed,10th,Curabitur Institute,49365,Honda,indigo,cereals,51
Georgia Estrada,16180609 -3355,Metformin HCl,Never-married,Assoc-acdm,Ultrices Sit Consulting,109050,Nissan,yellow,pasta,58
Kirestin Richard,16070406 -9079,Lisinopril, Widowed,Prof-school,Tristique Senectus Corp.,83100,GMC,yellow,pasta,48
Sacha Graves,16180708 -6770,Lorazepam,Never-married,Assoc-acdm,Nibh LLP,54416,Maruti Suzuki,red,desserts,44
Lacota Chapman,16471021 -5130,Alprazolam,Married-AF-spouse,11th,Nisi PC,36854,GMC,green,sandwiches,45
Anne Jensen,16111019 -9104,Prednisone,Divorced,9th,Hendrerit Company,49402,Isuzu,yellow,soups,63
Zenia Roach,16011227 -2406,Zolpidem Tartrate,Married-civ-spouse,Preschool,Ridiculus Mus PC,51812,Tata Motors,red,soups,72
Sacha Stephenson,16530807 -3914,Fluticasone Propionate,Married-AF-spouse,Prof-school,Gravida Non Sollicitudin PC,79010,Fiat,violet,soups,30
Yvette Hunt,16250817 -4725,Fluticasone Propionate,Married-spouse-absent,Assoc-acdm,Sem Semper Erat Industries,48373,Smart,yellow,soups,26
Beatrice Mcintosh,16281223 -9701,Advair Diskus,Separated ,Doctorate,Tempor Consulting,34591,Maruti Suzuki,yellow,seafood,34
Azalia Meyer,16760712 -1881,Tramadol HCl,Divorced,Assoc-voc,Sed Corporation,93645,Hyundai Motors,red,stews,35
Leah Jefferson,16200110 -3536,Alprazolam,Divorced,Prof-school,Accumsan Sed Facilisis Incorporated,116653,BMW,orange,pasta,58
Lila Cline,16641214 -6075,Citalopram HBR, Widowed,5th-6th,Nec Ligula Consectetuer Consulting,41158,Porsche,violet,pies,25
Tasha Boyd,16661115 -5612,Lisinopril,Separated ,Bachelors,Semper Auctor Limited,52433,Kia Motors,yellow,sandwiches,63
Nelle Holland,16080502 -4155,Ventolin HFA,Married-civ-spouse,Doctorate,Ac Associates,79987,Mazda,indigo,seafood,30
Lynn Irwin,16471206 -4205,Atenolol,Separated ,HS-grad,Neque Nullam Nisl Associates,82209,Fiat,green,sandwiches,21
Jenna Hurst,16550818 -9072,Metformin HCl,Separated ,Assoc-acdm,Ut Quam Corp.,48934,Renault,violet,salads,23
