studentnumber,firstname,lastname,dateofbirth,studyprogram
0967123,Aviva,Lilleyman,1973-02-16,DS
0770675,,,,INF
0997435,Tybi,Beavan,1955-08-04,AI
0959294,Aidan,Rennox,1982-09-15,TINF
0834057,Melisent,Bestiman,1991-11-12,INF
0842622,Maible,Vosper,2005-08-20,AI
0753569,Rossy,Hing,1990-11-19,AI
0848909,Bev,Goch,1994-12-19,CMD
0756656,Darnall,Daily,1965-11-29,CMD
0761371,Michele,Bollard,1961-02-13,AI
0925391,Edy,McGooch,1969-08-03,AI
0760729,Kiri,Summerson,1970-04-30,AI
0821615,Minerva,Harrold,1984-05-14,AI
0923988,Danila,Woltering,1983-12-04,TINF
0881231,Clemmy,Gannan,2000-08-29,CMD
0795497,Wandie,Mowsdell,1980-01-15,TINF
0922988,Nissa,Chevin,1957-06-22,CMD
0821913,Loraine,Willock,1987-04-29,DS
0997780,Edan,Beadel,1979-01-31,CMD
0954489,Luigi,Onn,1967-04-26,TINF
0902832,Donna,Halleybone,1986-12-30,TINF
0883886,,,,AI
0963647,Berthe,Champain,1989-09-07,INF
0910759,,,,AI
0956958,Hyman,Dunbar,1997-10-01,DS
0867954,Danice,Skain,1967-01-07,TINF
0956925,Shantee,Abethell,1994-01-29,CMD
0922713,Eleanore,Elce,1983-11-01,DS
0776052,Gradeigh,Gareisr,1958-11-16,DS
0948843,Ignaz,Jeannon,1957-01-15,TINF
0914386,,,,INF
0793419,Verena,Brackpool,1993-01-28,AI
0798369,Meggy,Meere,1980-06-09,DS
0985612,Adel,Belt,1974-03-25,DS
0788010,Megen,Potteridge,1970-03-30,INF
0949517,Hendrik,Pendleberry,2007-08-12,TINF
0779228,,,,DS
0927401,Cello,Brazer,2007-06-22,AI
0884314,Merell,Moxon,2008-06-15,AI
0869663,Aguistin,Ousley,1998-10-25,INF
0991729,Cosetta,Birchwood,2009-02-27,AI
0816566,Debbie,Grain,1958-03-30,TINF
0943657,Vida,Lapides,1958-03-12,INF
0893527,Ruggiero,Fifield,1976-08-18,DS
0944991,Vanny,Jerromes,1996-08-10,TINF
0959490,Abbe,Trees,1986-11-29,DS
0786259,Krissy,Danslow,1986-09-06,CMD
0940757,Friedrick,Mat_thius,1981-08-14,CMD
0782415,Ivan,Crewdson,1980-04-01,TINF
0834252,Horacio,Alban,1962-05-02,DS
0884124,Carline,Bolstridge,1979-03-03,AI
0925683,Pamelina,Rawlings,1970-11-16,TINF
0830943,Jeramey,Duckitt,1984-01-08,CMD
0812895,Wendeline,Simonou,1969-06-25,INF
0854037,Angeli,Warlton,1986-01-24,AI
0970844,Melisenda,Gagan,2004-03-24,DS
0822662,Chicky,O'Moylane,1957-07-14,TINF
0866516,Eadith,Turri,1978-08-29,DS
0805778,Flore,Hannigane,1966-07-12,CMD
0901356,Haydon,Redihalgh,1966-03-18,TINF
0761477,Jemima,Manon,1959-03-05,AI
0797817,Elisabeth,Cossans,1971-08-20,AI
0929612,Kim,Pargetter,1978-03-27,TINF
0929124,Mercie,Possek,1992-09-03,TINF
0967951,Katharina,Rimmer,2002-07-06,DS
0874757,,,,INF
0898186,Lila,Coathup,1958-09-20,CMD
0778431,Nonie,Di Lucia,1968-05-19,DS
0856318,Nikki,Wedlake,2007-10-15,INF
0968820,Kristin,Castiello,1988-05-10,INF
0898410,Dicky,McConnel,2004-12-07,AI
0804800,Shelley,Horche,1975-04-18,INF
0753008,Deirdre,Bedingfield,1970-01-28,TINF
0911774,Mufi,D'Alesio,1962-11-20,TINF
0776060,Heinrick,Castane,1970-07-13,DS
0863099,Efrem,Sisey,2005-01-27,CMD
0845053,Roxy,Rehor,1982-08-16,INF
,Shellysheldon,Skate,1971-06-16,
0781887,,,,TINF
0884966,Frankie,Kynvin,1964-08-30,CMD
0946188,Anatol,Gheorghie,1955-04-08,CMD
0782860,Burk,Guierre,1989-10-22,AI
0841900,Dolf,Gavrielly,1986-12-25,INF
0852727,Grethel,Padula,1998-03-23,AI
0770514,Lizbeth,Hugonnet,1994-11-03,TINF
0804006,Halimeda,Aveline,1962-06-05,INF
0805903,Jervis,Lidden,2003-05-08,DS
0779573,Darsie,Squelch,2001-02-08,TINF
0912016,Sheppard,Frizzell,1968-06-20,CMD
0880982,Kenna,Trayling,2004-03-16,AI
0882144,Cristy,Annand,1969-09-22,CMD
0878364,Steven,Galsworthy,1983-07-25,INF
0960711,Shermy,Birkmyre,1966-08-20,CMD
,Mignon,Miners,1983-10-14,
0896554,Gaylene,Saller,1984-10-28,DS
0871406,Mick,Bleibaum,1985-05-15,DS
0801262,Barnebas,Balazot,1994-08-29,TINF
0950989,Wyatan,Davidek,1993-08-01,AI
0825689,Wallache,Ingerman,1966-09-02,DS
0773847,Carry,Ropert,1966-05-15,AI
0898402,Grantley,Greenmon,2005-08-24,INF
0836895,Joella,Wafer,1955-10-13,INF
0826097,Tamar,Jowsey,2002-07-05,TINF
0952767,Justino,Clears,1996-10-18,TINF
0907506,Nikki,Mangin,2004-05-14,AI
0976823,Eadith,Ferrini,1995-08-03,CMD
0932676,Grantley,Deadman,2007-01-14,TINF
0974777,Shantee,Hlavac,1988-12-24,TINF
0798698,Timmi,Mc^Crann,1988-08-03,AI
0996942,Ally,Matteuzzi,2000-09-20,DS
0861401,Nara,Guilloud,2003-12-14,TINF
0934213,Teodor,De Fraine,1982-08-26,DS
0878149,Lindsey,Pietrzyk,1960-01-10,AI
,Sydel,Soares,1997-01-10,
0941499,Mohandis,Oswick,1971-12-16,TINF
0971787,Bondie,Gilbee,1959-11-21,INF
0835283,Simonette,Fawks,1992-12-15,CMD
0779804,Oby,Tarzey,1970-05-02,DS
0770645,Mercedes,Bachshell,1994-05-21,AI
0873872,Curr,Arpe,1999-09-19,AI
0844735,Josee,Denty,1962-09-25,CMD
0982302,Keith,Corneliussen,2004-12-13,INF
0904191,Arri,Osbourn,1984-12-03,DS
0969655,Raimund,Hehl,1973-06-23,AI
0843198,Jesus,Dinan,1990-02-01,DS
0986942,Lindy,Acuna,1967-06-20,TINF
0854637,Claus,Algar,1968-11-29,AI
0808785,Doti,Pyett,1990-10-25,INF
0984264,Devin,Schneidau,1989-05-06,CMD
,Sheridan,Dwine,1989-04-30,
0841651,,,,TINF
0948822,,,,CMD
0995006,Hymie,Ravel,1992-08-25,AI
0886279,,,,DS
0853238,,,,TINF
0933390,Darline,Fenge,1973-01-01,DS
0873612,Gabriel,Stock,2003-11-22,INF
0770733,Dara,Wasiel,1962-07-06,CMD
0769463,Sylvan,Broady,1964-01-26,AI
0787219,Wally,912313,1959-06-09,INF
0818703,Prisca,Porrett,1977-11-08,DS
0756342,May,Milazzo,1969-05-21,CMD
0815334,Connie,Bakes,1969-08-29,INF
0905522,Ashby,Poundford,1958-10-16,INF
0751600,,,,CMD
0879050,,,,CMD
0769802,Geralda,Davydenko,1982-03-26,CMD
0906732,Prudence,Cristea,1957-07-16,AI
0763441,Ulises,Coldtart,1962-12-30,TINF
0814310,Toby,Lillicrap,2003-06-10,DS
0965711,Edeline,Stebbin,1973-08-09,DS
0915482,Em,Mumberson,2006-08-13,DS
0784644,Blair,Esland,1955-11-17,INF
0762105,Jonis,Cowper,1968-05-13,AI
0804677,Thorsten,Kikke,1969-01-16,INF
0993689,Myrta,Grumell,1960-06-17,CMD
0944619,Benton,Barbour,2010-03-05,CMD
0836112,Pacorro,Creffield,1984-11-02,TINF
